+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
Good. Anyway, now the pumpkin is broken, | 好吧。既然现在南瓜都已经碎了，
I can make it into pumpkin pie! | 我们就用它来做南瓜派吧！
I love pumpkin pie! | 我喜欢南瓜派！
And because Daddy Pig's pumpkin is so big, | 因为猪爸爸的南瓜很大，
there will be enough pumpkin pie for everyone! | 所以我们每个人都可以吃到南瓜派了！
Hurray! | 太好了！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
The New Car! | 新车！
Today, Peppa and her family | 今天，佩奇和家人
are going for a drive in their red car. | 开着红色小车准备出游。
Shall we have the roof down? | 我们是否应该把车篷放下？
Yes, please! | 是的。
Peppa and George love their car. | 佩奇和乔治喜欢他们的车。
Is everybody ready? | 每个人都准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们就出发了！
I love our car! | 我喜欢我们的车！
And our car loves us, too! Don't you? | 我们的车也喜欢我们，对嘛？
Oh, dear, the car does not sound very well. | 哦，糟糕，车子听起来不对劲。
Hmm! | 嗯！
What's wrong, Daddy? | 出什么问题了，爸爸？
Hmmm! Er... l don't know. | 嗯！呃。。。我也不知道。
Let's take it toGranddad Dog's Garage. | 让我们把车开去狗爷爷的修车厂吧。
He can fix it. | 他能修好的。
That's a good idea, Mummy Pig. | 这是个好主意，猪妈妈。
woof! | 汪！
Granddad Dog runs the garage; | 狗爷爷开了个修车厂。
he is very good at mending cars. | 他很善长修理汽车。
Woof! Oh, dear, Daddy Pig! | 汪！ 哦，哎，猪爸爸！
Your car does not sound very well. | 你的车子听上去有点问题。
Can you fix it, please, Granddad Dog? | 请问你能不能修好它呢，狗爷爷？
Yes......but it will take all day. | 当然。。。但是它需要一整天。
Ohhh... | 哦。。。
We wanted to go for a drive in our car. | 我们本来想开车出去兜风的。
Woof! Don't worry. | 汪！不用担心。
You can borrow this new car while I fix yours. | 我修车时可以把这辆新车借给你们。
Hurray! | 太好了！
Thank you, Granddad Dog. | 谢谢你，狗爷爷。
Would you like the roof down? | 车篷要放下来吗？
Yes, please! | 好的，谢谢！
I'll just press this red button. | 我只要按下这个红色按钮就行了。
What a clever car! | 多么智能的车子啊！
Wow. | 哇。
Woof! When you come back, | 汪！当你们回来时，
I will have fixed your car. | 我就会修好你们的车子的。
Thank you, Grandad Dog. | 谢谢你，狗爷爷。
Goodbye. | 再见。
Goodbye! | 再见！
Bye bye! | 再见！
Goodbye! woof! | 再见！汪！
Peppa and her family like the new blue car. | 佩奇和家人喜欢这辆蓝色新汽车。
There are so many buttons in this new car. | 这辆新车里有很多按钮。
What does the green button do, Daddy? | 这个绿色的按钮是干什么的，爸爸？
Let's see. | 让我们试试看。
Magic windows! | 原来是神奇的窗户！
Daddy! Make the magic windows go down. | 爸爸！把神奇的窗户降下去吧。
What does the blue button do? | 这个蓝色的按钮是干什么的？
I don't know. Let's see. | 我不知道。让我们试试看。
Arrgh! | 啊！
I love this new car. Can we keep it? | 我喜欢这辆新车。我们可以留下它吗？
No, we can't keep it, Peppa. | 不行，我们不能留下它，佩奇。
We've only borrowed it for today. | 我们今天只是借用一下。
Ohh. | 哦。
Oh, no, I think it's going to rain. | 哦，不，我想快要下雨了。
Yes, I'll just put the roof up. | 是的，我来把车篷升起来。
Now, which is the buttonto close the roof? | 现在，那个按钮是升起车篷了？
Oops! Silly me. Aha! | 哎哟！我糊涂了。啊！
This must be the button. | 一定是这个按钮。
Arrgh! | 啊！
The new car has squirted Daddy Pig with water. | 新车朝猪爸爸脸上喷了一脸的水。
Silly Daddy, that's not the roof! | 糊涂爸爸，那不是控制车篷的！
This button! Oops! | 是这个按钮！哎哟！
Not that one! This button! | 不是那个！是这个！
Arrgh! Help! | 啊！救命啊！
Daddy Pig has forgotten which button closes the roof. | 猪爸爸忘了是哪个按钮来关车篷的。
I don't think this car likes me! | 我觉得这辆车不喜欢我！
Let's try the red button. | 让我们来试一下这个红色的按钮。
Hurray! | 太好了！
But now it's stopped raining. | 但是现在雨停了。
Can we open the roof again? | 我们能把车篷再打开吗？
Er, yes. which button was it? | 呃，好的，是哪个按钮？
The red one! Hurray! | 红色的那个！好了！
Granddad Dog has fixed the car. | 狗爷爷已经修好了车子。
Your car is fixed. | 你们的车子已经修好了。
Hurray! | 太好了！
Thank you, Granddad Dog, and keep the change. | 谢谢你，狗爷爷，不用找零钱了。
Thank you, Daddy Pig. | 谢谢你，猪爸爸。
Woof! Woof! Goodbye! | 汪！汪！再见！
Goodbye! | 再见！
Goodbye! | 再见！
Bye bye! | 再见！
Ahhh! It's good to getour old car back again! | 啊！还是开我们的旧车感觉好！
I liked the new car but I like our old car better. | 我喜欢那辆新车，但我更喜欢我们的旧车。
And I think our old car likes us, too. Don't you? | 我觉得我们的旧车也喜欢我们，对嘛？
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Snow | 下雪了
Peppa and George are very excited today. | 佩奇和乔治今天非常的兴奋。
It is snowing outside! | 因为外面下雪了！
Mummy! Can we go and play in the snow? | 妈妈，我们可以去玩雪吗？
Yes, but it's very cold outside, | 可以，但是外面非常寒冷，
so you must wrap up warm. | 所以你们必须穿暖和些。
Hurray! | 好啊！
And don't forget to wear your hats, | 还有不要忘记戴上你们的帽子，
and scarves and gloves. | 围巾和手套。
It is very cold outside. | 外面天气非常冷。
Peppa and George must wear their hats... | 佩奇和乔治必须戴上他们的帽子。。。
and scarves... and gloves. | 围巾。。。和手套。
Come on, George! | 快来，乔治！
Peppa and George are making footprints in the snow. | 佩奇和乔治在雪地里留下了足迹。
Peppa and George love making footprints in the snow! | 佩奇和乔治喜欢在雪地里留下了足迹。
Oops! | 喔！
Oh, dear！ | 哦，糟糕！
It's not funny! | 这一点也不好笑！
George, let's play snowballs! | 乔治，让我们来打雪仗吧！
Peppa has made a snowball. | 佩奇做了个雪球。
Peppa and George are having a lot of fun. | 佩奇和乔治玩得很开心。
George, come back, you little piggy! | 乔治，快回来，你这小猪！
Arrgh! | 啊！
Oh, dear. Maybe this game isgetting a little too rough. | 哦，糟糕。也许这游戏玩得有点过火了。
Sorry, George. | 对不起，乔治。
George! Let's build a snowman! | 乔治！让我们来堆雪人吧！
Peppa and George are making a snowman. | 佩奇和乔治在堆雪人。
First, they make the body. | 首先，他们堆了身体。
George, this is the snowman's body. | 乔治，这是雪人的身体了。
Now, they make the snowman's head. | 现在，他们在堆雪人的头。
Now, he needs armsand eyes and a mouth! | 现在，他需要胳膊，眼睛和嘴巴！
George has found some sticks for the snowman's arms. | 乔治找了几根树枝来做雪人的胳膊。
Peppa has found some stones for the snowman's eyes and mouth. | 佩奇找了几块石头来做雪人的眼睛和嘴巴。
This is his face. | 这是他的脸啦。
Now the snowman needs a nose. | 现在雪人需要一个鼻子。
Peppa has got a carrot,to make the snowman's nose. | 佩奇找了根胡萝卜来做雪人的鼻子。
The snowman looks very happy. | 雪人看上去很开心。
But maybe he is bit cold. | 但也许他有点冷。
The snowman needs some clothes to keep him warm. | 雪人需要穿些衣服来保暖。
George has found some clothes to keep the snowman nice and warm! | 乔治找来了一些衣服来给雪人保暖！
The snowman is wearing his hat... and scarf... and gloves. | 雪人戴上他的帽子。。。围上围巾。。。和戴着手套。 Mummy! Daddy! Come and look! 妈妈！爸爸！快来看看！
Mummy Pig is wearing her hat and scarf and gloves. | 妈妈戴着她的帽子，围巾和手套来了。
That is the best snowman I have ever seen! | 这是我见过的最好的雪人了！
Daddy Pig looks quite cold. | 猪爸爸看上去有点冷。
He isn't wearing his hatand scarf and gloves. | 他没有戴着他的帽子，围巾和手套。
Daddy, why aren't you wearingyour hat and scarf and gloves? | 爸爸，你为什么不戴上你的帽子，围巾和手套？
I don't know where they are! | 我不知道他们跑哪去了！
I can't find them anywhere. | 我在哪也没有找到他们。
I think I know where Daddy's hat, scarf and gloves are... | 我想我知道爸爸的帽子，围巾和手套在哪了。。。
Daddy Pig's hat and scarf and gloves are on the snowman! | 猪爸爸的帽子，围巾和手套都在雪人身上！
Oh! | 哦！
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Flying a kite! | 放风筝！
It is a bright, sunny day.Peppa and her family are in the park. | 今天是一个阳光明媚的日子。佩奇和家人在公园玩。
They are going to fly a kite! | 他们要去放风筝！
George is going to fly the kite first. | 乔治要第一个把风筝放起来。
George runs as fast as he can.But the kite won't fly. | 乔治尽全力跑。但是风筝就是不能飞起来。
George! You're doing it all wrong! | 乔治！你完全做错了！
You didn't run fast enough.Now, it's my turn! | 你跑得不够快。现在，轮到我了。
Peppa runs as fast as she can. | 佩奇也在用全力地跑。
But the kite still won't fly. | 但是风筝仍然没有飞起来。
The kite won't flyif there isn't any wind, | 如果没有风，风筝是飞不起来的，
no matter how fast you run. | 无论你们跑多快。
Oh! | 哦！
We'll just have to wait,until the wind picks up a bit. | 我们只要再等等，就会有风啦。
Oh! | 哦！
Look, it's getting windy! | 看，现在起风了！
Now that it is windy,the kite can fly! | 现在起风了，风筝可以飞起来了！
The wind is quite strong now. | 现在风刮得很大了。
The wind is very strong now! | 现在风刮得很大了。
George! Wahhh! | 乔治！哇！
Peppa! | 佩奇！
Thank you, Daddy！ | 谢谢你，爸爸！
Daddy Pig flies the kite. | 猪爸爸开始放风筝了。
Hurray! | 好耶！
Higher, higher! | 高点，再高点！
Daddy pig flies the kite very well. | 猪爸爸的风筝放得很不错。
Wow! | 喔！
Yes, I am a bit of an expert at these things | 没错，放风筝我算是专家了。
Watch out for the trees! | 小心那边的树！
You might get the kite stuck in one. | 你会把风筝卡在树上的。
Don't worry; I know what I'm doing. | 不用担心；我知道我在做什么。
Oh, dear. Daddy Pig has gotthe kite caught in a tree. | 哦，糟糕。猪爸爸把风筝卡在了一棵树上。
Oh, no! | 哦，糟糕！
Hmmm! | 嗯！
Don't worry, George.Daddy will get the kite down. | 不用担心，乔治。爸爸会把风筝拿下来的。
Hurray! | 好耶！
Err... yes. | 呃。。。是的。
Careful! There's a big muddy puddle! | 小心点！那里有一个大泥坑！
Peppa and George love to jump in muddy puddles. | 佩奇和乔治喜欢跳进泥坑玩。
Can we jump in the puddle?Please! | 我们可以跳进泥坑里吗？求你们了！
No. I don't want you covered in mud. | 不行。我不想你们浑身都是泥。
Ohhhhhhhhh... | 哦~~~。。。
Stand back, children. | 往后站，孩子们。
Please be careful, Daddy Pig! | 请一定要小心，猪爸爸！
I know what I'm doing. | 我知道我在做什么。
Please be careful! | 请一定要小心！
Just a bit further, Daddy! | 还要往前一点点，爸爸！
Daddy Pig, you are much tooheavy for that branch! | 猪爸爸，你太重了树枝撑不住了！
Nonsense! I know exactlyhow heavy I am. There! | 胡说！我知道我自己有多重！够到了！
Hurray! | 好耶！
Daddy Pig has rescued the kite! | 猪爸爸拿到了风筝！
Whoa! | 喔！
Oh, dear. Everyone is covered in mud. | 哦，糟糕。每个人身上都是泥了。
It's only mud. | 只是些泥而已啦。
Luckily, Daddy Pig hasn't hurt himseIf. | 幸好，猪爸爸没有摔伤。
And the kite is out of the tree! | 而风筝也从树上拿下来了！
Hurray! | 好耶！
Mummy... Now that we are all muddy, | 妈妈。。。现在我们都全身是泥了，
can we jump in the puddle? | 我们可以跳进泥坑里玩了吧？
I suppose so. After all,you can't get any muddier... | 我想可以了。毕竟你们不会更脏了。。。
And I think Daddy Pig is going to be doing the washing... | 但我想猪爸爸得去洗洗才行。。。
Oh! | 哦！
Peppa and George love jumping up and down in muddy puddles! | 佩奇得乔治喜欢在泥坑里跳来跳去！
Mummy and Daddy love jumping up and down in muddy puddles. | 妈妈和爸爸也喜欢在泥坑里跳来跳去！
Everyone loves jumping up and down in muddy puddles! | 大家都喜欢在泥坑里跳来跳去！
Jumping up and down in muddy puddles is just as much fun as flying the kite! | 在泥坑里跳来跳去就与放风筝一样有趣！
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
My Cousin Chloe! | 我的堂姐克洛伊!
Peppa and George are playing in the garden. | 佩奇和乔治在花园里玩。
To me, George! | 交给我，乔治！
You threw the ball too hard, George! | 你的球扔得太大力了，乔治！
So the rules say, I win! | 所以按规则来说，我赢了！
Now it's my turn. I win again! | 现在轮到我了。我又赢了！
Peppa, George. Today your big cousin, | 佩奇，乔治，今天你们的堂姐，
Chloe is coming to visit! | 克洛伊会来家里玩！
Yippee! Cousin Chloe! | 好耶！堂姐克洛伊来哦！
George, Chloe is a big girl,like me. | 乔治，克洛伊像我一样是个大姑娘了。
So, don't be sad if she findsyou too Little to play with. | 所以，如果她觉得你太小不和你玩，你不要伤心哦。
I'm sure Chloewill play with both of you. | 我相信克洛伊会和你们俩一起玩的。
Chloe is here! | 克洛伊到了！
Aunty Pig has brought Chloe to spend the day at Peppa's house. | 猪伯母带克洛伊来佩奇家里玩了。
Chloe is Peppa and George's cousin. | 克洛伊是佩奇和乔治的堂姐。
Chloe is a bit older than Peppa and George. | 克洛伊比佩奇和乔治大一点点。
Hello, Chloe! | 你好，克洛伊！
Hello, Peppa! Hello, George! | 你好，佩奇！你好，乔治！
See you later! | 待会见！
Do you want to play a game? | 想玩游戏吗？
Yes! Let's play "Catch!" | 是的！我们来玩“你跑我追”!
Peppa loves playing "Catch". | 佩奇喜欢玩“你跑我追”！
Do you still play "Catch"? | 你还玩“你跑我追”？
That's a game for Little children. | 那可是小孩子玩的游戏。
We only play "Catch"because George likes it. | 我们只玩“你跑我追”是因为是乔治喜欢这个游戏。
Okay. Let's play it for George. | 好吧。那我们陪乔治玩吧。
Do you play with the proper rules or the baby rules? | 你是按大人的规则玩还是按小朋友的规则玩？
Proper rules! | 按大人的规则！
I'll start. Peppa! You're "it". | 开始了。佩奇！你是追的人。
Catch me if you can! | 有本事就来抓我呀！
Peppa is "it". She has tochase Chloe and George. | 佩奇是那个追的人。她要追克洛伊和乔治。
Can't catch me! | 抓不到我吧！
George! | 乔治！
I'm going to easily catch you!You're so Little! | 要抓住你太简单了！你那么小！
That's not fair!!You're helping George! | 那样不公平！你在帮乔治！
That's because he's Little. | 那是因为他还小。
Do you want me to help you? | 你需要我来帮你吗？
No! I don't need help.I'm a big girl like you. | 不，我不需要帮忙。我和你一样是个大姑娘了。
Come on, then, Peppa!Try and catch us! | 来吧，佩奇！来抓我们吧！
Can't catch us! | 来抓我们吧！
Can't catch us! | 来抓我们吧！
This is a silly game. | 这个游戏很傻气.
Can we play something else? | 我们可以玩别的游戏吗？
Okay, I know a really goodgame for big children. | 可以啊，我知道一个真正适合大孩子玩的好游戏。
It's called "Sly Fox"! | 叫做“狡猾的狐狸”！
"Sly Fox"!! | “狡猾的狐狸”！
I want to play "Sly Fox"!!What is it? | 我想玩“狡猾的狐狸”
One person is the "Sly Fox" | 由一个人来做“狡猾的狐狸”
and the others creep up on them. | 其他人悄悄地走上前。
Me! Me! I want to be the "Sly Fox"! | 我来！我来！我要扮“狡猾的狐狸”！
Peppa is the "Sly Fox". | 佩奇做"狡猾的狐狸"。
While her back is turned,the others creep up on her. | 当她转过身去时，其他人悄悄地走向她。
But if Peppa turns and sees someone move, | 但如果佩奇转过身看到谁在动， they have to go back to the start!那他们就得走回去重新开始！
George, I saw you move! | 乔治，我看到你动了！
Back to the start! | 回去重新开始！
Got you! I win! | 抓住你了！我赢了！
You moved before I was ready! | 我还没准备好你就动了！
The rules say I can move when I like. | 规则说我随时都可以动。
Don't they, George? | 是不是，乔治?
Now it's Chloe's turnto be the "Sly Fox". | 现在轮到克洛伊来做“狡猾的狐狸”了。
Peppa and George must stay very still. | 佩奇和乔治必须保持不动。
Whoaao! | 哇啊！
Peppa! I saw you move!Back to the start! | 佩奇！我看到你动了！回到原位重新开始！
It's not fair!You looked too long! | 不公平！你看得太久了！
The rules say, I can lookas long as I want. | 规则说，我想看多久就多久。
Back to the start. | 回到原位重新开始。
George is the winner! | 乔治赢了！
Can we play a different game? | 我们可以玩别的游戏吗？
Yes. | 是的。
But as long as it'sa grown-up game. | 但必须是大人玩的游戏。
I know! | 我知道！
Let's play my favorite game! | 我们来玩我最喜欢的游戏吧！
It's very grown-up! | 大人的游戏！
George, do you know | 乔治，你知道
What Peppa's favorite game is? | 佩奇最喜欢的游戏是什么？
Peppa's favorite game is | 佩奇最喜欢的游戏是
jumping up and down in muddy puddles! | 在泥坑里跳来跳去！
George, if you jump in puddles, | 乔治，如果你想跳到泥坑里玩，
you must wear your boots! | 你必须穿上你的靴子！
I've brought some bootsfor you too, Chloe! | 我也给你带了一双靴子，克洛伊！
I'm too grown-up to jumpin muddy puddles. | 我已经是大人了不能在泥坑里跳。
Oh. So am I. | 哦。我也是。
George loves jumping in muddy puddles. | 乔治喜欢跳到泥坑里玩。
Secretly, Peppa would loveto jump in the puddle. | 背地里，佩奇也喜欢跳到泥坑里玩。
But she wants to look grown-up. | 但是她想让自己看上去像个大人。
I hear there's some puddlejumping going on! | 我听到这有跳泥坑的游戏！
Mummy Pig and Daddy Pig love jumping in muddy puddles! | 猪妈妈和猪爸爸也喜欢跳到泥坑里玩！
It does look fun. | 的确看起来很有趣。
Yes, it does. | 是的，确实是。
Maybe there's a rule that says, | 也许应该有条规则说，
big girls can jump in muddy puddles. | 大姑娘也可以跳到泥坑里玩。
Yes! That's a good rule! | 是的！真是个好规则！
Race you! | 比你快！
Race you! | 比你快！
Peppa and Chloe love jumping up and down in muddy puddles! | 佩奇和克洛伊喜欢在泥坑里跳来跳去！
Everyone loves jumping up and down in muddy puddles, | 大家都喜欢在泥坑里跳来跳去，
even grown-up girls! | 连大姑娘也喜欢！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Daddy Loses his Glasses! | 爸爸的眼镜不见了!
Daddy Pig wears glasses. | 猪爸爸常戴着眼镜。
He needs to wear glasses to see clearly. | 他需要戴着眼镜才能看得清楚。
When Daddy Pig wears his glasses, | 当猪爸爸戴着眼镜时，
everything looks fine. | 一切看得很清楚。
But when Daddy Pig takes his glasses off... | 但是当猪爸爸摘下眼镜时。。。
...he can't see things clearly. | 。。。他就什么都看不清了。
Everything looks a bit soft and fuzzy. | 所有的东西看上去都很模糊。
So, it is very important thatDaddy Pig knows where his glasses are. | 所以，对于猪爸爸来说，知道他的眼镜在哪是很重要的。
Sometimes, Daddy Pigloses his glasses. | 有时，猪爸爸会找不到他的眼镜。
Peppa, George. Have you seenDaddy Pig's glasses? | 佩奇，乔治。你们看到过猪爸爸的眼镜吗？
He can't find them anywhere. | 他到处找也找不到。
No, Mummy. | 没有，妈妈。
Peppa and George do not know | 佩奇和乔治不知道
where Daddy Pig's glasses are. | 猪爸爸的眼镜在哪。
Oh, dear. Daddy Pig cannot see a thing without them | 哦，糟糕。猪爸爸没有眼镜什么都看不到
and it makes him very grumpy. | 这让他很焦躁的。
Without his glasses on, | 没在眼镜，
Daddy Pig cannot read his newspaper. | 猪爸爸根本看不到报纸。
This is ridiculous!I can't see anything! | 真可笑！我什么也看不到！
Somebody must have put my glasses somewhere. | 一定是有人将我的眼镜藏起来了。
Do you remember where you last put them,Daddy Pig? | 你还记得你最后把他们放哪了，猪爸爸？
When I don't wear them, | 当我不戴时，
I always put them in my pocket. | 我总是把他们放在我的口袋里。
But they aren't there now. | 但是他们现在不在口袋里。
Daddy! Can we help findyour glasses? | 爸爸！我们能帮你一起找眼镜吗？
Good idea, Peppa. If you find them, | 好主意，佩奇。如果你找到了，
Daddy will stop being so grumpy. | 爸爸就不再焦躁了。
I'm not grumpy. | 我并没有焦躁。
Peppa and George are looking for Daddy's glasses. | 佩奇和乔治开始找爸爸的眼镜了。
Peppa looks under the newspaper. | 佩奇找了报纸下面。
But Daddy Pig's glasses are not there. | 但是猪爸爸的眼镜不在那里。
Oh. | 哦。
George looks on top of the television. | 乔治找了电视机的上面。
But Daddy Pig's glasses are not there. | 但是猪爸爸的眼镜也不在那里。
Oh. | 哦。
Let's look upstairs inMummy and Daddy's bedroom! | 让我们上楼去妈妈和爸爸的卧室找找！
Peppa and George are looking in Mummy and Daddy Pig's bedroom. | 佩奇和乔治开始在猪妈妈和猪爸爸的卧室里找。
George... be careful not toknock anything over. | 乔治。。。小心点，不要碰倒东西了。
Argh! | 啊！
It's not funny. | 这一点也不好笑。
Peppa looks under the pillows. | 佩奇找了枕头底下。
But Daddy Pig's glassesare not there. | 但是猪爸爸的眼镜不在那。
Oh. | 哦。
George looks in Daddy's slippers. | 乔治找了爸爸的拖鞋。
But the glasses are not there, either. | 但是眼镜也不在那。
Let's look in the bathroom! | 让我们去浴室找找！
Peppa and George are looking in the bathroom. | 佩奇和乔治开始在浴室找。
The glasses are not in the bath. | 眼镜不在浴缸里
Oh. | 哦。
The glasses are not in the toilet. | 眼镜也不在厕所里。
Oh. | 哦。
Hmm ! It's too difficult. | 唔！太难找了。
Peppa and George cannot find Daddy Pig's glasses anywhere. | 佩奇和乔治到处找都没找到猪爸爸的眼镜。
We've looked everywhere. | 我们已经到处找了。
But we can't find Daddy's glasses. | 但是我们没有找到爸爸的眼镜。
Oh, dear. Now, what can we do? | 哦，糟了。现在，我们该怎么办？
I suppose I'll just have tolearn to do without them... | 我想我只有适应没有眼镜的生活。。。
If I move slowly,I won't bump into things. | 如果走得慢，我不会撞到东西的。
There they are!Daddy's glasses! | 在这里！爸爸的眼镜！
Daddy Pig. You weresitting on them all the time! | 猪爸爸。原来你一直坐在眼镜上面！
Oh... | 哦。。。
Silly Daddy! | 糊涂的爸爸！
I don't know how they got there. | 我不知道他们怎么会跑到那里去的。
I wonder how! | 我知道是怎么回事了！
Well, you may have been a bit silly, | 好吧，你的确有点糊涂，
Daddy Pig, but at leastyou're not grumpy anymore! | 猪爸爸，但至少你不会焦躁了！
I was not grumpy. | 我从来没有焦躁。
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Hiccups! | 打嗝！
Peppa, George, Mummy and Daddy are having breakfast. | 佩奇，乔治，妈妈和爸爸正在吃早餐。
It is a lovely, sunny day, | 今天天气明媚，阳光灿烂，
and Peppa and George can't wait to go into the garden to play. | 佩奇和乔治已逼不及待要去花园玩了。
Mummy, please, can we go out to play? | 妈妈，我们可以出去玩了吗？
You can go out to play when you finish your breakfast. | 等你们吃完早餐就可以出去玩了。
George! Don't drink your juice too quickly! | 乔治！果汁不要喝得那么快。
George drank his juice too quickly, | 乔治喝果汁喝得太快了。
and now he has hiccups. | 现在他打嗝了。
Can we go out to play now, Mummy? | 我们现在可以出去玩吗，妈妈？
Not while George has hiccups. | 现在不行因为乔治在打嗝。
But George's hiccups have gone, Mummy. | 但是乔治已经不打嗝了，妈妈。
Haven't they, George? | 没打嗝了吧，乔治？
Oh, alright, you can go out and play. | 哦，好吧，你们可以出去玩了。
But look after George. | 但是照顾好乔治。
Peppa and George love playing in the garden. | 佩奇和乔治喜欢在花园里玩。
George. I'm going to throw the ball, | 乔治。我准备扔球了，
and then you have to catch it. | 然后你要接住哦。
George, please stop hiccupping! | 乔治，请不要再打嗝了！
George! Now you throw the ball to me, | 乔治！ 现在你把球扔给我，
and I have to catch it. | 然后我接住球。
George! | 乔治！
Oh, dear, George's hiccupsare spoiling the game. | 哦，糟糕，乔治的打嗝让他们没办法玩游戏。
George... I knowhow to cure hiccups! | 乔治。。。我知道怎样治好打嗝！
You have to do what I say. | 你必须按我说的做。
Rub the top of your head and rub your tummy! | 你在挠你的头时按摸你的肚子！ Good! Now your hiccups have gone! 好！现在你的打嗝没了！
Peppa's cure for hiccupsdoesn't seem to have worked. | 佩奇治打嗝的办法没凑效。
George! You have done it all wrong! | 乔治！你完全做错了！
I know a better way to cure hiccups! | 我知道另一个更好的办法治好打嗝！
First, jump up and downthree times... on one leg! | 首先，上下跳三下。。。单腿！
Now... wave your arms up and down | 现在。。。上下挥动你臂膀
and stick your tongue out! | 并且伸出你的舌头！
... And now... close your eyes, | 。。现在。。。闭上你的眼睛，
and turn around quickly,three times! | 然后快速转三圈！
Peppa's new cure hasn't worked, either. | 佩奇的新治法也没有凑效。
George still has hiccups. | 乔治仍然打嗝。
I know! | 我知道了！
To cure hiccups, the ill piggymust be given a shock! | 要治好打嗝，必须要给打嗝的小猪惊吓才行！
George, I'm going to scare you. | 乔治，我准备吓唬你了。
But you must remember, | 但是你必须记住，
it's only a game andit will stop your hiccups. | 它只是个游戏，它可以治好你的打嗝。
Remember, this isjust pretend scaring. | 记住，这只是假装吓唬。
Waaaaaaaaaaaaaaaaah! | 哇~~~~~~~~~！
Peppa! You mustn'tplay so roughly with George! | 佩奇！你不应该和乔治玩得那么粗暴！
He's only little. | 他还很小。
Sorry, Mummy. | 对不起，妈妈。
I was just trying to stop George's hiccups. | 我只是尝试着帮乔治治好打嗝。
George's hiccups have gone! | 乔治的打嗝没了！
Here comes Daddy Pig,with two beakers of juice. | 猪爸爸走来了，拿着二杯果汁。
George! If you drink too quickly, | 乔治！如果你喝太快，
you will get hiccups again! | 你又会打嗝的！
I'm not as little as George. | 我不像乔治那么小。
I can drink juice as quickly as I want to! | 我可以想喝多快就多快！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Picnic! | 野餐！
It is a lovely bright, sunny day. | 今天天气明媚，阳光灿烂。
Peppa and her family are going for a picnic! | 佩奇和她的家人外出野餐！
Daddy Pig is bringing the picnic basket. | 猪爸爸带着野餐篮。
Picnic-blanket, bread, cheese,tomatoes and lemonade. | 野餐布，面包，奶酪，蕃茄和柠檬汽水。
Is there anything we've forgotten? | 有没有什么东西我们忘记了？
Mummy's strawberry cake! | 妈妈的草莓蛋糕！
I was just teasing! | 我是在逗你而已！
Mummy's home-made strawberry cake is there, too. | 妈妈亲手做的草莓蛋糕也在这里。
Is everybody ready? | 大家准备好了吗？
Ready! | 准备好了！
Then let's go! | 那我们出发吧！
This looks like just the spot for our picnic! | 这个地方看起来很适合我们野餐！
Hurray! | 好耶！
It's great to be outdoors! | 在野外真好！
We should run around a bit and get some exercise! | 我们应该稍为跑一下做点运动！
I want to eat, then have a nap. | 我想吃点东西，再睡一会。
I certainly don't want to run around. | 我可不想跑来跑去。
Maybe Daddy should run around a bit. | 也许爸爸应该跑跑。
His tummy is quite big. | 他的肚子太大了。
My tummy is not big. | 我的肚子一点也不大。
But later, I will get some exercise, | 但是稍后，我会做些运动，
even if no one else does. | 即使没有其他人做。
Let's eat! | 让我们开吃吧！
Good idea, Mummy Pig!I'm really hungry! | 好主意，猪妈妈！我真的饿了！
Hmmm... delicious! | 嗯。。。真美味！
Ahhhhh! I feel quite sleepy! | 啊~！我觉得很困了！
I thought you wanted to run around a bit, Daddy Pig? | 我记得你想到处跑跑的，猪爸爸？
